Name,Age,Gender,Test 1,Test 2,Test 3,Height,Weight,Average
Name91,25,Female,82.0,92.0,94.0,188.0,51.0,89.33333333333333
Name92,52,Male,73.0,78.0,84.0,150.0,57.0,78.33333333333333
Name93,52,Male,92.0,82.0,68.0,178.0,64.0,80.66666666666667
Name94,50,Male,77.0,72.0,76.0,163.0,76.0,75.0
Name95,22,Female,68.0,79.54311111111112,80.0,166.0,65.0,74.0
Name96,59,Female,82.0,88.0,72.0,162.0,50.0,80.66666666666667
Name97,56,Male,79.33,83.0,62.0,178.0,59.0,72.5
Name98,58,Male,78.0,75.0,63.0,183.0,56.0,72.0
Name99,45,Male,64.0,84.0,63.0,176.0,97.0,70.33333333333333
Name100,24,Male,82.0,82.0,87.0,195.0,59.0,83.66666666666667
Name101,26,Female,89.0,87.0,79.10422222222222,182.0,61.0,88.0
Name102,25,Female,84.0,75.0,85.0,174.8368888888889,66.0,81.33333333333333
Name103,29,Male,79.33,97.0,70.0,186.0,94.0,83.5
Name104,51,Female,79.33,70.0,83.0,188.0,61.0,76.5
Name105,50,Male,84.0,62.0,79.10422222222222,168.0,64.0,73.0
Name106,40,Female,69.0,74.0,96.0,195.0,95.0,79.66666666666667
Name107,41,Male,73.0,60.0,72.0,173.0,74.25822222222222,68.33333333333333
Name108,54,Female,89.0,66.0,98.0,163.0,81.0,84.33333333333333
Name109,52,Female,79.33,60.0,78.0,196.0,74.25822222222222,69.0
Name110,57,Male,73.0,91.0,78.0,186.0,63.0,80.66666666666667
Name111,39,Female,94.0,68.0,71.0,174.8368888888889,99.0,77.66666666666667
Name112,44,Female,93.0,88.0,81.0,173.0,75.0,87.33333333333333
Name113,52,Male,69.0,85.0,96.0,183.0,54.0,83.33333333333333
Name114,18,Female,94.0,79.54311111111112,89.0,199.0,87.0,91.5
Name115,52,Female,70.0,88.0,71.0,180.0,99.0,76.33333333333333
Name116,54,Male,79.33,97.0,88.0,174.8368888888889,95.0,92.5
Name117,31,Male,80.0,92.0,80.0,158.0,74.25822222222222,84.0
Name118,20,Female,80.0,66.0,70.0,176.0,77.0,72.0
Name119,18,Female,81.0,71.0,96.0,177.0,50.0,82.66666666666667
Name120,22,Male,66.0,90.0,77.0,191.0,62.0,77.66666666666667
Name121,43,Female,76.0,91.0,86.0,175.0,92.0,84.33333333333333
Name122,31,Female,61.0,79.0,96.0,167.0,52.0,78.66666666666667
Name123,56,Female,71.0,79.54311111111112,71.0,185.0,74.25822222222222,71.0
Name124,44,Female,77.0,95.0,82.0,157.0,99.0,84.66666666666667
Name125,26,Male,70.0,62.0,93.0,167.0,74.0,75.0
Name126,32,Female,75.0,60.0,97.0,174.8368888888889,91.0,77.33333333333333
Name127,32,Female,77.0,86.0,82.0,181.0,65.0,81.66666666666667
Name128,43,Female,94.0,99.0,84.0,178.0,70.0,92.33333333333333
Name129,59,Male,85.0,92.0,63.0,198.0,62.0,80.0
Name130,30,Female,75.0,79.0,89.0,197.0,93.0,81.0
Name131,49,Male,65.0,73.0,79.10422222222222,167.0,74.25822222222222,69.0
Name132,56,Male,71.0,95.0,72.0,156.0,57.0,79.33333333333333
Name133,49,Male,72.0,64.0,73.0,174.8368888888889,93.0,69.66666666666667
Name134,21,Male,63.0,79.54311111111112,67.0,177.0,68.0,65.0
Name135,47,Male,98.0,74.0,83.0,182.0,96.0,85.0
Name136,54,Female,61.0,65.0,77.0,199.0,65.0,67.66666666666667
Name137,40,Male,85.0,92.0,94.0,153.0,61.0,90.33333333333333
Name138,56,Male,86.0,78.0,84.0,169.0,69.0,82.66666666666667
Name139,32,Male,79.33,72.0,76.0,185.0,67.0,74.0
Name140,46,Male,74.0,88.0,91.0,180.0,61.0,84.33333333333333
Name141,53,Female,67.0,65.0,83.0,174.8368888888889,97.0,71.66666666666667
Name142,30,Female,66.0,74.0,66.0,177.0,74.0,68.66666666666667
Name143,49,Female,99.0,75.0,72.0,152.0,60.0,82.0
Name144,24,Female,79.33,83.0,86.0,155.0,71.0,84.5
Name145,39,Male,79.33,82.0,64.0,194.0,95.0,73.0
Name146,45,Female,76.0,69.0,95.0,172.0,83.0,80.0
Name147,19,Female,76.0,76.0,85.0,156.0,62.0,79.0
Name148,59,Male,95.0,89.0,90.0,185.0,95.0,91.33333333333333
Name149,23,Female,80.0,69.0,69.0,150.0,87.0,72.66666666666667
Name150,45,Male,67.0,78.0,85.0,155.0,74.25822222222222,76.66666666666667
Name151,45,Male,64.0,79.54311111111112,81.0,173.0,88.0,72.5
Name152,37,Male,85.0,61.0,71.0,186.0,85.0,72.33333333333333
Name153,47,Male,75.0,79.54311111111112,91.0,194.0,77.0,83.0
Name154,28,Female,95.0,78.0,86.0,185.0,76.0,86.33333333333333
Name155,45,Female,87.0,66.0,92.0,173.0,88.0,81.66666666666667
Name156,42,Male,79.33,85.0,79.0,174.8368888888889,62.0,82.0
Name157,56,Male,71.0,74.0,79.10422222222222,194.0,74.25822222222222,72.5
Name158,50,Male,96.0,97.0,99.0,174.8368888888889,89.0,97.33333333333333
Name159,18,Female,89.0,62.0,72.0,186.0,76.0,74.33333333333333
Name160,44,Male,82.0,97.0,73.0,174.8368888888889,80.0,84.0
Name161,30,Male,75.0,75.0,79.10422222222222,181.0,51.0,75.0
Name162,58,Female,79.33,61.0,81.0,174.0,67.0,71.0
Name163,20,Male,69.0,90.0,77.0,174.8368888888889,75.0,78.66666666666667
Name164,56,Male,66.0,87.0,88.0,184.0,91.0,80.33333333333333
Name165,23,Male,96.0,66.0,75.0,174.0,80.0,79.0
Name166,25,Male,88.0,89.0,94.0,176.0,87.0,90.33333333333333
Name167,44,Male,62.0,79.54311111111112,93.0,194.0,71.0,77.5
Name168,26,Male,74.0,95.0,62.0,181.0,85.0,77.0
Name169,54,Male,95.0,88.0,63.0,161.0,68.0,82.0
Name170,50,Female,79.33,83.0,64.0,153.0,63.0,73.5
Name171,59,Female,79.33,98.0,69.0,191.0,63.0,83.5
Name172,41,Male,80.0,79.54311111111112,88.0,175.0,99.0,84.0
Name173,32,Male,96.0,88.0,79.10422222222222,152.0,78.0,92.0
Name174,49,Female,86.0,64.0,90.0,166.0,66.0,80.0
Name175,49,Male,88.0,88.0,61.0,158.0,99.0,79.0
Name176,41,Male,79.0,89.0,71.0,178.0,74.25822222222222,79.66666666666667
Name177,58,Male,84.0,88.0,86.0,150.0,86.0,86.0
Name178,29,Female,79.33,85.0,64.0,167.0,58.0,74.5
Name179,56,Male,95.0,78.0,96.0,190.0,50.0,89.66666666666667
Name180,19,Female,61.0,85.0,86.0,169.0,53.0,77.33333333333333
Name181,20,Female,81.0,96.0,79.10422222222222,190.0,56.0,88.5
Name182,54,Male,91.0,86.0,92.0,183.0,74.25822222222222,89.66666666666667
Name183,34,Male,75.0,89.0,63.0,177.0,63.0,75.66666666666667
Name184,19,Male,77.0,89.0,80.0,174.8368888888889,91.0,82.0
Name185,19,Female,64.0,79.54311111111112,83.0,184.0,68.0,73.5
Name186,45,Female,95.0,66.0,90.0,165.0,89.0,83.66666666666667
Name187,40,Male,89.0,68.0,83.0,170.0,52.0,80.0
Name188,54,Male,78.0,72.0,69.0,162.0,57.0,73.0
Name189,49,Male,82.0,74.0,61.0,184.0,78.0,72.33333333333333
Name190,50,Female,93.0,64.0,90.0,191.0,99.0,82.33333333333333
Name191,18,Male,72.0,88.0,84.0,181.0,86.0,81.33333333333333
Name192,36,Female,88.0,79.54311111111112,63.0,174.8368888888889,92.0,75.5
Name193,19,Male,95.0,86.0,70.0,187.0,58.0,83.66666666666667
Name194,43,Male,81.0,86.0,76.0,155.0,68.0,81.0
Name195,49,Male,95.0,67.0,61.0,199.0,61.0,74.33333333333333
Name196,23,Female,68.0,91.0,65.0,187.0,74.25822222222222,74.66666666666667
Name197,49,Female,98.0,79.0,68.0,187.0,86.0,81.66666666666667
Name198,21,Female,79.33,69.0,64.0,162.0,97.0,66.5
Name199,28,Male,97.0,72.0,79.0,195.0,74.0,82.66666666666667
Name200,34,Female,65.0,88.0,79.10422222222222,174.8368888888889,94.0,76.5
Name201,55,Male,74.0,94.0,80.0,174.8368888888889,87.0,82.66666666666667
Name202,41,Male,79.0,67.0,68.0,196.0,97.0,71.33333333333333
Name203,22,Female,68.0,88.0,87.0,161.0,99.0,81.0
Name204,51,Female,91.0,90.0,67.0,182.0,66.0,82.66666666666667
Name205,23,Female,63.0,89.0,90.0,177.0,93.0,80.66666666666667
Name206,39,Male,77.0,81.0,79.0,152.0,82.0,79.0
Name207,28,Male,64.0,80.0,86.0,167.0,88.0,76.66666666666667
Name208,33,Female,79.0,71.0,67.0,175.0,63.0,72.33333333333333
Name209,50,Female,82.0,70.0,80.0,189.0,77.0,77.33333333333333
Name210,26,Female,70.0,61.0,87.0,151.0,67.0,72.66666666666667
Name211,23,Male,96.0,79.54311111111112,82.0,153.0,82.0,89.0
Name212,33,Male,81.0,93.0,65.0,199.0,91.0,79.66666666666667
Name213,46,Male,63.0,79.54311111111112,62.0,174.8368888888889,74.25822222222222,62.5
Name214,20,Female,88.0,75.0,64.0,177.0,60.0,75.66666666666667
Name215,37,Female,93.0,63.0,68.0,174.0,85.0,74.66666666666667
Name216,53,Male,72.0,82.0,66.0,175.0,64.0,73.33333333333333
Name217,36,Female,68.0,79.54311111111112,63.0,194.0,97.0,65.5
Name218,43,Female,90.0,84.0,98.0,196.0,79.0,90.66666666666667
Name219,20,Male,66.0,89.0,64.0,174.8368888888889,64.0,73.0
Name220,36,Male,63.0,77.0,70.0,191.0,98.0,70.0
Name221,37,Female,78.0,79.54311111111112,74.0,183.0,72.0,76.0
Name222,49,Male,79.33,88.0,93.0,179.0,74.25822222222222,90.5
Name223,24,Female,90.0,76.0,72.0,170.0,99.0,79.33333333333333
Name224,58,Female,94.0,85.0,66.0,193.0,97.0,81.66666666666667
Name225,50,Female,80.0,82.0,99.0,186.0,74.25822222222222,87.0
Name226,57,Female,90.0,79.0,65.0,193.0,78.0,78.0
Name227,56,Male,78.0,61.0,98.0,172.0,60.0,79.0
Name228,35,Male,90.0,83.0,89.0,182.0,94.0,87.33333333333333
Name229,57,Female,91.0,90.0,81.0,151.0,67.0,87.33333333333333
Name230,18,Male,61.0,86.0,84.0,176.0,89.0,77.0
Name231,28,Male,69.0,61.0,87.0,197.0,80.0,72.33333333333333
Name232,45,Female,61.0,73.0,79.0,171.0,58.0,71.0
Name233,42,Female,61.0,63.0,98.0,183.0,71.0,74.0
Name234,40,Female,83.0,79.54311111111112,62.0,165.0,60.0,72.5
Name235,48,Male,76.0,95.0,79.10422222222222,169.0,66.0,85.5
Name236,47,Male,91.0,94.0,60.0,175.0,82.0,81.66666666666667
Name237,59,Male,75.0,67.0,79.10422222222222,165.0,60.0,71.0
Name238,52,Female,79.33,61.0,85.0,155.0,88.0,73.0
Name239,24,Male,79.33,65.0,79.10422222222222,194.0,57.0,65.0
Name240,33,Female,90.0,90.0,99.0,193.0,53.0,93.0
Name241,43,Female,83.0,69.0,93.0,172.0,74.25822222222222,81.66666666666667
Name242,19,Male,60.0,80.0,64.0,174.8368888888889,68.0,68.0
Name243,18,Male,70.0,69.0,90.0,186.0,73.0,76.33333333333333
Name244,29,Female,80.0,82.0,72.0,157.0,90.0,78.0
Name245,22,Male,63.0,62.0,60.0,155.0,74.25822222222222,61.666666666666664
Name246,54,Male,66.0,91.0,81.0,186.0,67.0,79.33333333333333
Name247,49,Female,85.0,79.0,74.0,171.0,82.0,79.33333333333333
Name248,26,Male,71.0,69.0,85.0,155.0,95.0,75.0
Name249,58,Female,90.0,88.0,77.0,181.0,85.0,85.0
Name250,52,Male,76.0,93.0,68.0,166.0,59.0,79.0
Name251,36,Female,92.0,96.0,60.0,187.0,74.25822222222222,82.66666666666667
Name252,33,Female,70.0,79.0,68.0,166.0,74.25822222222222,72.33333333333333
Name253,20,Female,87.0,79.54311111111112,82.0,186.0,61.0,84.5
Name254,37,Male,91.0,66.0,61.0,172.0,71.0,72.66666666666667
Name255,41,Male,60.0,65.0,73.0,198.0,76.0,66.0
Name256,50,Female,87.0,70.0,97.0,198.0,97.0,84.66666666666667
Name257,41,Male,66.0,77.0,99.0,162.0,86.0,80.66666666666667
Name258,28,Female,61.0,88.0,77.0,181.0,60.0,75.33333333333333
Name259,25,Male,83.0,84.0,75.0,171.0,85.0,80.66666666666667
Name260,53,Female,63.0,80.0,88.0,174.8368888888889,62.0,77.0
Name261,55,Male,78.0,62.0,70.0,171.0,81.0,70.0
Name262,57,Female,85.0,77.0,65.0,170.0,57.0,75.66666666666667
Name263,37,Male,70.0,83.0,62.0,155.0,56.0,71.66666666666667
Name264,52,Male,79.33,97.0,73.0,163.0,92.0,85.0
Name265,42,Male,70.0,69.0,61.0,165.0,92.0,66.66666666666667
Name266,52,Female,62.0,86.0,91.0,152.0,66.0,79.66666666666667
Name267,42,Male,71.0,71.0,90.0,158.0,71.0,77.33333333333333
Name268,46,Male,62.0,66.0,70.0,196.0,95.0,66.0
Name269,35,Male,86.0,76.0,81.0,174.8368888888889,83.0,81.0
Name270,35,Female,79.33,60.0,62.0,199.0,69.0,61.0
Name271,19,Male,75.0,85.0,90.0,179.0,57.0,83.33333333333333
Name272,52,Male,61.0,79.54311111111112,92.0,179.0,71.0,76.5
Name273,33,Male,89.0,92.0,83.0,174.8368888888889,76.0,88.0
Name274,58,Female,79.33,96.0,60.0,191.0,83.0,78.0
Name275,53,Female,97.0,90.0,79.10422222222222,181.0,70.0,93.5
Name276,50,Female,79.33,94.0,96.0,172.0,64.0,95.0
Name277,21,Female,84.0,60.0,86.0,152.0,54.0,76.66666666666667
Name278,50,Female,91.0,67.0,97.0,150.0,87.0,85.0
Name279,31,Female,69.0,71.0,86.0,152.0,66.0,75.33333333333333
Name280,38,Male,99.0,78.0,71.0,186.0,57.0,82.66666666666667
Name281,37,Male,92.0,84.0,62.0,156.0,74.25822222222222,79.33333333333333
Name282,25,Male,79.33,79.54311111111112,89.0,152.0,54.0,89.0
Name283,24,Female,96.0,71.0,91.0,185.0,72.0,86.0
Name284,20,Female,75.0,72.0,82.0,198.0,68.0,76.33333333333333
Name285,34,Male,81.0,87.0,61.0,152.0,63.0,76.33333333333333
Name286,50,Male,79.33,60.0,66.0,153.0,59.0,63.0
Name287,29,Male,86.0,65.0,79.10422222222222,180.0,80.0,75.5
Name288,39,Female,75.0,67.0,91.0,151.0,62.0,77.66666666666667
Name289,39,Female,93.0,63.0,98.0,163.0,71.0,84.66666666666667
Name290,47,Female,79.33,79.54311111111112,91.0,186.0,86.0,91.0
Name291,55,Male,85.0,84.0,73.0,180.0,88.0,80.66666666666667
Name292,55,Female,84.0,81.0,62.0,151.0,59.0,75.66666666666667
Name293,25,Male,61.0,87.0,91.0,180.0,80.0,79.66666666666667
Name294,44,Female,71.0,98.0,95.0,174.8368888888889,92.0,88.0
Name295,44,Female,99.0,82.0,76.0,192.0,84.0,85.66666666666667
Name296,51,Male,68.0,63.0,62.0,171.0,62.0,64.33333333333333
Name297,38,Female,71.0,63.0,69.0,159.0,79.0,67.66666666666667
Name298,47,Male,79.33,80.0,79.10422222222222,179.0,83.0,80.0
Name299,50,Female,68.0,96.0,77.0,182.0,85.0,80.33333333333333
Name300,45,Female,69.0,61.0,62.0,168.0,84.0,64.0
Name301,50,Female,91.0,66.0,98.0,195.0,96.0,85.0
Name302,22,Female,93.0,75.0,69.0,174.0,53.0,79.0
Name303,36,Male,79.0,76.0,79.10422222222222,195.0,53.0,77.5
Name304,21,Male,98.0,79.0,70.0,150.0,96.0,82.33333333333333
Name305,52,Male,79.33,82.0,92.0,181.0,55.0,87.0
Name306,34,Female,60.0,93.0,95.0,174.0,77.0,82.66666666666667
Name307,45,Female,95.0,70.0,85.0,190.0,79.0,83.33333333333333
Name308,47,Female,83.0,93.0,86.0,166.0,76.0,87.33333333333333
Name309,46,Male,86.0,92.0,97.0,163.0,54.0,91.66666666666667
Name310,23,Female,61.0,85.0,79.10422222222222,194.0,93.0,73.0
Name311,52,Male,90.0,79.54311111111112,79.10422222222222,174.8368888888889,88.0,90.0
Name312,58,Female,73.0,82.0,81.0,187.0,74.25822222222222,78.66666666666667
Name313,54,Female,79.33,81.0,64.0,188.0,74.25822222222222,72.5
Name314,41,Male,88.0,93.0,94.0,151.0,74.25822222222222,91.66666666666667
Name315,46,Male,74.0,74.0,79.10422222222222,181.0,64.0,74.0
Name316,48,Female,71.0,69.0,94.0,181.0,68.0,78.0
Name317,52,Female,96.0,74.0,68.0,189.0,79.0,79.33333333333333
Name318,50,Female,87.0,88.0,77.0,155.0,87.0,84.0
Name319,38,Male,79.0,82.0,71.0,174.0,81.0,77.33333333333333
Name320,49,Male,98.0,76.0,62.0,152.0,89.0,78.66666666666667
Name321,40,Male,79.33,68.0,79.10422222222222,167.0,78.0,68.0
Name322,50,Female,80.0,95.0,97.0,199.0,55.0,90.66666666666667
Name323,20,Female,69.0,68.0,66.0,187.0,75.0,67.66666666666667
Name324,35,Female,73.0,75.0,92.0,192.0,76.0,80.0
Name325,42,Male,96.0,95.0,65.0,152.0,74.25822222222222,85.33333333333333
Name326,59,Male,77.0,92.0,77.0,197.0,77.0,82.0
Name327,48,Male,83.0,90.0,81.0,154.0,54.0,84.66666666666667
Name328,20,Female,73.0,65.0,98.0,173.0,90.0,78.66666666666667
Name329,57,Male,93.0,69.0,68.0,183.0,97.0,76.66666666666667
Name330,41,Female,71.0,75.0,94.0,196.0,65.0,80.0
Name331,49,Male,81.0,63.0,82.0,197.0,74.25822222222222,75.33333333333333
Name332,39,Female,65.0,81.0,71.0,188.0,67.0,72.33333333333333
Name333,40,Male,95.0,72.0,83.0,197.0,62.0,83.33333333333333
Name334,19,Female,95.0,79.54311111111112,99.0,174.8368888888889,92.0,97.0
Name335,44,Male,81.0,88.0,68.0,185.0,74.25822222222222,79.0
Name336,59,Male,73.0,65.0,72.0,177.0,59.0,70.0
Name337,19,Male,75.0,85.0,99.0,197.0,78.0,86.33333333333333
Name338,43,Female,95.0,70.0,76.0,174.8368888888889,59.0,80.33333333333333
Name339,34,Female,84.0,83.0,66.0,174.8368888888889,55.0,77.66666666666667
Name340,57,Female,91.0,79.54311111111112,76.0,165.0,65.0,83.5
Name341,50,Male,92.0,62.0,83.0,185.0,74.0,79.0
Name342,26,Male,95.0,69.0,61.0,156.0,93.0,75.0
Name343,56,Female,79.0,60.0,94.0,167.0,53.0,77.66666666666667
Name344,46,Male,77.0,85.0,87.0,155.0,86.0,83.0
Name345,59,Male,97.0,71.0,78.0,199.0,83.0,82.0
Name346,43,Female,62.0,73.0,79.10422222222222,174.8368888888889,68.0,67.5
Name347,52,Male,82.0,84.0,80.0,188.0,82.0,82.0
Name348,42,Female,91.0,67.0,69.0,174.8368888888889,53.0,75.66666666666667
Name349,41,Female,75.0,63.0,68.0,190.0,93.0,68.66666666666667
Name350,30,Male,64.0,87.0,97.0,174.8368888888889,83.0,82.66666666666667
Name351,24,Female,63.0,79.54311111111112,65.0,174.8368888888889,61.0,64.0
Name352,53,Male,80.0,79.54311111111112,94.0,163.0,80.0,87.0
Name353,37,Male,99.0,95.0,77.0,154.0,65.0,90.33333333333333
Name354,18,Female,73.0,61.0,78.0,174.0,51.0,70.66666666666667
Name355,25,Female,98.0,85.0,64.0,188.0,98.0,82.33333333333333
Name356,33,Male,90.0,73.0,84.0,157.0,51.0,82.33333333333333
Name357,31,Male,73.0,75.0,70.0,164.0,85.0,72.66666666666667
Name358,29,Male,65.0,76.0,69.0,168.0,55.0,70.0
Name359,40,Male,79.33,81.0,76.0,160.0,72.0,78.5
Name360,32,Male,75.0,63.0,95.0,169.0,88.0,77.66666666666667
Name361,45,Male,76.0,78.0,85.0,185.0,96.0,79.66666666666667
Name362,51,Male,82.0,61.0,90.0,167.0,93.0,77.66666666666667
Name363,19,Female,73.0,98.0,91.0,163.0,86.0,87.33333333333333
Name364,49,Male,66.0,68.0,80.0,187.0,95.0,71.33333333333333
Name365,40,Male,91.0,79.54311111111112,77.0,174.0,65.0,84.0
Name366,39,Male,74.0,75.0,79.10422222222222,165.0,92.0,74.5
Name367,42,Male,76.0,84.0,60.0,167.0,93.0,73.33333333333333
Name368,39,Female,93.0,77.0,73.0,150.0,74.25822222222222,81.0
Name369,39,Female,64.0,82.0,67.0,189.0,98.0,71.0
Name370,59,Male,86.0,80.0,61.0,174.8368888888889,73.0,75.66666666666667
Name371,23,Female,82.0,70.0,74.0,150.0,76.0,75.33333333333333
Name372,32,Female,99.0,98.0,93.0,174.8368888888889,56.0,96.66666666666667
Name373,54,Female,73.0,63.0,95.0,174.0,74.25822222222222,77.0
Name374,50,Female,74.0,79.54311111111112,60.0,176.0,90.0,67.0
Name375,25,Male,92.0,91.0,80.0,174.8368888888889,63.0,87.66666666666667
Name376,22,Female,90.0,89.0,60.0,199.0,93.0,79.66666666666667
Name377,56,Male,94.0,85.0,79.10422222222222,161.0,64.0,89.5
Name378,21,Male,76.0,95.0,79.0,177.0,61.0,83.33333333333333
Name379,23,Female,87.0,93.0,95.0,198.0,78.0,91.66666666666667
Name380,49,Female,78.0,68.0,98.0,174.8368888888889,72.0,81.33333333333333
Name381,47,Female,82.0,71.0,89.0,182.0,62.0,80.66666666666667
